torsions:
=========
    { 39, 39, 29, 58, -0.01184, 0.0, -6.0, 1.2, 2.0 },
    { 39, 39, 29, 58, -0.02974, 0.0, -5.0, 1.2, 2.0 },
    { 39, 39, 29, 58, -0.11535, 0.0, -4.0, 1.2, 2.0 },
    { 39, 39, 29, 58, 0.10642, 0.81093, -3.0, 1.2, 2.0 },
    { 39, 39, 29, 58, -0.70075, -10.51754, -2.0, 1.2, 2.0 },
    { 39, 39, 29, 58, 0.19389, 12.35042, 1.0, 1.2, 2.0 },
    { 39, 39, 58, 29, -0.06722, 0.0, -6.0, 1.2, 2.0 },
    { 39, 39, 58, 29, 0.07683, 0.0, -5.0, 1.2, 2.0 },
    { 39, 39, 58, 29, -0.09777, 0.0, -4.0, 1.2, 2.0 },
    { 39, 39, 58, 29, 0.02415, -13.1181, -3.0, 1.2, 2.0 },
    { 39, 39, 58, 29, 0.65662, -70.04881, -2.0, 1.2, 2.0 },
    { 39, 39, 58, 29, -0.44504, -12.98507, 1.0, 1.2, 2.0 },
    { 58, 39, 29, 58, -0.00137, 0.0, -6.0, 1.2, 2.0 },
    { 58, 39, 29, 58, -0.09892, 0.0, -5.0, 1.2, 2.0 },
    { 58, 39, 29, 58, -0.00451, 0.0, -4.0, 1.2, 2.0 },
    { 58, 39, 29, 58, 0.22257, 138.00547, -3.0, 1.2, 2.0 },
    { 58, 39, 29, 58, 1.71905, 179.1748, -2.0, 1.2, 2.0 },
    { 58, 39, 29, 58, 0.38093, 200.89752, 1.0, 1.2, 2.0 },
    { 29, 58, 39, 29, 0.06991, 0.0, -6.0, 1.2, 2.0 },
    { 29, 58, 39, 29, -0.09075, 0.0, -5.0, 1.2, 2.0 },
    { 29, 58, 39, 29, -0.07618, 0.0, -4.0, 1.2, 2.0 },
    { 29, 58, 39, 29, -0.12507, 11.81714, -3.0, 1.2, 2.0 },
    { 29, 58, 39, 29, 0.28798, 35.58886, -2.0, 1.2, 2.0 },
    { 29, 58, 39, 29, 0.13452, -0.58651, 1.0, 1.2, 2.0 },
    { 46, 35, 68, -1, 0.0, 180.0, 2.0, 1.2, 2.0 },
    { 48, 35, 68, -1, 0.0, 180.0, 2.0, 1.2, 2.0 },
    { 35, 35, 68, -1, 0.0, 180.0, 2.0, 1.2, 2.0 },
    { 39, 39, 68, -1, 0.0, 0.0, 3.0, 1.2, 2.0 },
    { 45, 39, 68, -1, 0.0, 0.0, 3.0, 1.2, 2.0 },
    { 44, 39, 68, -1, 0.0, 0.0, 3.0, 1.2, 2.0 },
    { 39, 39, 67, -1, 0.0, 0.0, 3.0, 1.2, 2.0 },
    { 44, 39, 67, -1, 0.0, 0.0, 3.0, 1.2, 2.0 },
    { 65, 29, 58, -1, 0.0, 180.0, 2.0, 1.2, 2.0 },
    { 39, 29, 58, -1, 0.0, 180.0, 2.0, 1.2, 2.0 },
    { 39, 39, -1, -1, 0.0, 0.0, 3.0, 1.2, 2.0 },
    { 44, 39, -1, -1, 0.0, 0.0, 3.0, 1.2, 2.0 },
    { 49, 39, 39, -1, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { 49, 39, 39, -1, 0.55, 0.0, 1.0, 1.2, 2.0 },
    { 49, 39, 39, -1, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { 49, 39, 39, -1, 0.25, 0.0, 1.0, 1.2, 2.0 },
    { 49, 39, 39, -1, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { 49, 39, 39, -1, 0.19, 0.0, 1.0, 1.2, 2.0 },
    { 49, 39, 39, 67, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { 49, 39, 39, 67, 0.22915, 0.12029, 1.0, 1.2, 2.0 },
    { 49, 39, 39, 68, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { 49, 39, 39, 68, 0.25, 0.0, 1.0, 1.2, 2.0 },
    { 44, 39, 39, -1, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { 44, 39, 39, -1, 0.55, 0.0, 1.0, 1.2, 2.0 },
    { 44, 39, 39, -1, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { 44, 39, 39, -1, 0.25, 0.0, 1.0, 1.2, 2.0 },
    { 44, 39, 39, -1, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { 44, 39, 39, -1, 0.19, 0.0, 1.0, 1.2, 2.0 },
    { 44, 39, 39, 67, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { 44, 39, 39, 67, 0.72834, 36.55068, 1.0, 1.2, 2.0 },
    { 44, 39, 39, 68, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { 44, 39, 39, 68, 0.25, 0.0, 1.0, 1.2, 2.0 },
    { -1, 39, 39, -1, 0.0, 0.0, 3.0, 1.2, 2.0 },
    { -1, 39, 39, -1, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { -1, 39, 39, -1, 0.45, 180.0, 1.0, 1.2, 2.0 },
    { -1, 39, 39, -1, 0.0, 0.0, -3.0, 1.2, 2.0 },
    { -1, 39, 39, -1, 1.2, 180.0, 1.0, 1.2, 2.0 },
    { 67, 39, 39, 67, 0.144, 0.0, -3.0, 1.2, 2.0 },
    { 67, 39, 39, 67, 1.175, 0.0, 2.0, 1.2, 2.0 },
    { 68, 39, 39, 67, 0.144, 0.0, -3.0, 1.2, 2.0 },
    { 68, 39, 39, 67, 1.175, 0.0, 2.0, 1.2, 2.0 },
    { 68, 39, 39, 68, 0.144, 0.0, -3.0, 1.2, 2.0 },
    { 68, 39, 39, 68, 1.175, 0.0, 2.0, 1.2, 2.0 },
    { 68, 39, 59, 35, 2.5, 0.0, 1.0, 1.2, 2.0 },
    { 68, 39, 59, 34, 2.5, 0.0, 1.0, 1.2, 2.0 },
    { 65, 29, 68, 39, 2.7, 180.0, -2.0, 1.2, 2.0 },
    { 65, 29, 68, 39, 1.4, 180.0, 1.0, 1.2, 2.0 },
    { 39, -1, -1, -1, 0.0, 0.0, 1.0, 1.2, 2.0 },
    { 39, 68, 39, 59, 0.383, 0.0, -3.0, 1.2, 2.0 },
    { 39, 68, 39, 59, 0.65, 0.0, 2.0, 1.2, 2.0 },
